skuId,description,oemPartNumber
SKU-001,Compressor relay 35A,TRN-REL-35A
SKU-002,Evaporator fan motor 1/4 HP,TRN-FAN-025
SKU-003,Thermostatic expansion valve TXV,HCP-TXV-040
SKU-004,Door gasket walk-in 36in,TRN-GSK-36W
SKU-005,Condenser coil cleaner kit,GEN-CLN-KIT
SKU-006,Defrost timer 8141-20,PAR-TMR-8141
SKU-007,High-limit safety switch,TRN-HLS-180
SKU-008,Capillary tube kit,HCP-CAP-KIT
SKU-009,Filter drier 3/8 SAE,HCP-FDR-038
SKU-010,Sight glass moisture indicator,HCP-SG-038
SKU-011,Contactors 2-pole 30A,GEN-CNT-30A
SKU-012,Crankcase heater 40W,TRN-HT-40W
SKU-013,Evaporator coil 48in,TRN-EVC-48
SKU-014,Condenser fan blade 18in,TRN-CFB-18
SKU-015,Pressure switch low 20psi,HCP-PS-L20
SKU-016,Pressure switch high 400psi,HCP-PS-H400
SKU-017,Liquid line solenoid 3/8,HCP-SOL-038
SKU-018,Walk-in door hinge kit,TRN-HNG-WIN
SKU-019,Reach-in door closer,TRN-DCL-RIN
SKU-020,Digital controller E2,TRN-CTL-E2
SKU-021,Temperature probe NTC,TRN-PRB-NTC
SKU-022,Defrost heater 500W,TRN-DHT-500
SKU-023,Fan blade set screw kit,GEN-SSK-FAN
SKU-024,Refrigerant R404A 25lb,REF-R404A-25
SKU-025,Schraeder valve core kit,GEN-SVK-01
SKU-026,Condensing unit contactor,TRN-CNU-CNT
SKU-027,Evaporator drain pan,TRN-DPN-EVA
SKU-028,Walk-in floor plate heater,TRN-FPH-WIN
SKU-029,Reach-in gaskets universal,TRN-GSK-UNI
SKU-030,Fan cycling control,HCP-FCC-01
SKU-031,Oil separator 5/8,HCP-OIL-058
SKU-032,Head master valve,HCP-HMV-038
SKU-033,Low ambient kit,TRN-LAK-01
SKU-034,Condenser motor 1/3 HP,TRN-CNM-033
SKU-035,Evaporator TXV R404A,HCP-TXV-R404
SKU-036,Walk-in light fixture LED,GEN-LGT-LED
SKU-037,Door switch magnetic,TRN-DSW-MAG
SKU-038,Crankcase pressure regulator,HCP-CPR-01
SKU-039,Filter drier burn-out,HCP-FDR-BOUT
SKU-040,Service valve kit 1/4,GEN-SVK-014
